source,site_name,developer,country,longitude,latitude,status,date_commissioned,customers,geometry
CLUBER,Andulo,Unkonwn,Angola,16.694,-11.484,Unknown,2018-07-01,2000,POINT (16.694 -11.484)
CLUBER,Bonvale,Unkonwn,Burkina Faso,-4.2,11.766,Unknown,2017-07-01,0,POINT (-4.2 11.766)
CLUBER,Bontioli,Unkonwn,Burkina Faso,-3.077,10.807,Unknown,2017-07-01,0,POINT (-3.077 10.807)
CLUBER,Bittou,Unkonwn,Burkina Faso,-0.304,11.257,Unknown,2017-07-01,0,POINT (-0.304 11.257)
CLUBER,Gori,TIN TUA ONG,Burkina Faso,-2.4,11.416,Unknown,2016-07-01,0,POINT (-2.4 11.416)
CLUBER,Samendeni,Unkonwn,Burkina Faso,-3.338,12.143,Unknown,2017-07-01,0,POINT (-3.338 12.143)
CLUBER,Bilgo,Sonabel,Burkina Faso,12.3,-1.34,Operating,2016-07-01,2300,POINT (12.3 -1.34)
CLUBER,Koutseni,Unkonwn,Burkina Faso,-4.75,11.283,Unknown,2017-07-01,0,POINT (-4.75 11.283)
CLUBER,Bon,Unkonwn,Burkina Faso,-2.75,11.183,Unknown,2017-07-01,0,POINT (-2.75 11.183)
CLUBER,Badango,Unkonwn,Burkina Faso,-1.166,11.116,Unknown,2017-07-01,0,POINT (-1.166 11.116)
CLUBER,Gougourou,Unkonwn,Burkina Faso,-2.333,11.583,Unknown,2017-07-01,0,POINT (-2.333 11.583)
CLUBER,Ziga,SPEEDTECH,Burkina Faso,-0.823,12.617,Unknown,2017-07-01,0,POINT (-0.823 12.617)
CLUBER,Arli,Unkonwn,Burkina Faso,1.466,11.583,Unknown,2017-07-01,0,POINT (1.466 11.583)
CLUBER,Kirgou,Unkonwn,Burkina Faso,0.716,13.283,Unknown,2017-07-01,0,POINT (0.716 13.283)
CLUBER,Guiba and Bindé,Service international d'Appui au Développement,Burkina Faso,11.45,-1.0524,Operating,2017-07-01,5000,POINT (11.45 -1.0524)
CLUBER,Baoue,Unkonwn,Burkina Faso,0.58,10.259,Unknown,2017-07-01,0,POINT (0.58 10.259)
CLUBER,Adamaoua,ONUDI,Cameroon,12.805,6.918,Unknown,2018-07-01,0,POINT (12.805 6.918)
CLUBER,Mbakaou,Eneo Cameroon S A,Cameroon,12.811,6.307,Unknown,2018-07-01,0,POINT (12.811 6.307)
CLUBER,Afanloum,REFELA-Cam,Cameroon,11.706,4.629,Unknown,2018-07-01,0,POINT (11.706 4.629)
CLUBER,Bayomen,Ministère de l’Eau et de l’Energie (Minee),Cameroon,11.1,4.866,Operating,2017-07-01,120,POINT (11.1 4.866)
CLUBER,Ngoro,Unkonwn,Cameroon,11.385,4.953,Unknown,2017-07-01,0,POINT (11.385 4.953)
CLUBER,Bambouti / Ngoura,Energy for Development Reasearch Project of the University of Southmpton,Cameroon,14.02,5.07,Operating,2015-07-01,0,POINT (14.02 5.07)
CLUBER,Angossas,REFELA-Cam,Cameroon,13.129,3.974,Unknown,2018-07-01,0,POINT (13.129 3.974)
CLUBER,Lomié,Agence d’électrification rurale (AER),Cameroon,13.63,3.161,Unknown,2015-07-01,0,POINT (13.63 3.161)
CLUBER,Messamena,Agence d’électrification rurale (AER),Cameroon,12.823,3.741,Unknown,2015-07-01,0,POINT (12.823 3.741)
CLUBER,Messock,Unkonwn,Cameroon,14.062,3.085,Unknown,2015-07-01,0,POINT (14.062 3.085)
CLUBER,Nkah,ADEID,Cameroon,9.891,5.017,Operating,2014-07-01,300,POINT (9.891 5.017)
CLUBER,Tcholliré,CANOPY,Cameroon,14.166,8.361,Operating,2016-07-01,0,POINT (14.166 8.361)
CLUBER,Batié,Unkonwn,Cameroon,10.265,5.292,Unknown,2017-07-01,0,POINT (10.265 5.292)
CLUBER,Messok,Unkonwn,Cameroon,14.062,3.085,Unknown,2017-07-01,0,POINT (14.062 3.085)
CLUBER,Mintom,REFELA-Cam,Cameroon,15.016,3.433,Unknown,2018-07-01,0,POINT (15.016 3.433)
CLUBER,Mvomeka’a,Huawei Technologies,Cameroon,12.266,3.116,Operating,2015-07-01,0,POINT (12.266 3.116)
CLUBER,Rumpi,Unkonwn,Cameroon,9.116,4.833,Unknown,2017-07-01,0,POINT (9.116 4.833)
CLUBER,Bekem,Unkonwn,Cameroon,10.016,4.7,Unknown,2014-07-01,0,POINT (10.016 4.7)
CLUBER,Chutes de Buba,Unkonwn,Cameroon,9.566,4.616,Unknown,2014-07-01,0,POINT (9.566 4.616)
CLUBER,Edjong,Unkonwn,Cameroon,9.955,6.827,Unknown,2014-07-01,0,POINT (9.955 6.827)
CLUBER,Famtchuet,Unkonwn,Cameroon,10.488,5.506,Unknown,2014-07-01,0,POINT (10.488 5.506)
