source,site_name,developer,country,longitude,latitude,status,date_commissioned,customers
CLUBER,Andulo,Unkonwn,Angola,16.6940,-11.4840,Unknown,2018-01-01,2000
CLUBER,Bailundo,Unkonwn,Angola,15.8410,-12.1900,Operating,2013-01-01,0
CLUBER,Wako Kungo,Unkonwn,Angola,15.1200,-11.3610,Operating,2013-01-01,0
CLUBER,Cunene,Unkonwn,Angola,14.9700,-16.7510,Operating,2013-01-01,0
CLUBER,Soyo,Unkonwn,Angola,12.3520,-6.1410,Operating,2013-01-01,0
CLUBER,Uige,Unkonwn,Angola,15.0550,-7.6090,Operating,2013-01-01,0
CLUBER,Bonvale,Unkonwn,Burkina Faso,-4.2000,11.7660,Unknown,2017-01-01,0
CLUBER,Bontioli,Unkonwn,Burkina Faso,-3.0770,10.8070,Unknown,2017-01-01,0
CLUBER,Bégédo,Unkonwn,Burkina Faso,-0.7330,11.8030,Unknown,2003-01-01,0
CLUBER,Bittou,Unkonwn,Burkina Faso,-0.3040,11.2570,Unknown,2017-01-01,0
CLUBER,Niagho,Unkonwn,Burkina Faso,-0.8300,11.7330,Unknown,2003-01-01,0
CLUBER,Zabré,Unkonwn,Burkina Faso,-0.6330,11.1833,Unknown,2004-01-01,0
CLUBER,Gori,TIN TUA ONG,Burkina Faso,-2.4000,11.4160,Unknown,2016-01-01,0
CLUBER,Samendeni,Unkonwn,Burkina Faso,-3.3380,12.1430,Unknown,2017-01-01,0
CLUBER,Bilgo,Sonabel,Burkina Faso,12.3000,-1.3400,Operating,2016-01-01,2300
CLUBER,Koutseni,Unkonwn,Burkina Faso,-4.7500,11.2830,Unknown,2017-01-01,0
CLUBER,Andemtenga,Fondation Energies pour le Monde,Burkina Faso,-0.3090,12.3240,Unknown,2008-01-01,0
CLUBER,Balgo,Fondation Energies pour le Monde,Burkina Faso,-0.2650,12.0540,Unknown,2008-01-01,0
CLUBER,Donsin,Fondation Energies pour le Monde,Burkina Faso,-1.2000,11.5830,Unknown,2008-01-01,0
CLUBER,Kalwartenga,Fondation Energies pour le Monde,Burkina Faso,-0.4420,12.3440,Unknown,2008-01-01,0
