geometry,Map,country,customers,date_commi,developer,latitude,longitude,site_name,source,status
POINT (16.694041666666664 -11.48404166666667),50,Angola,2000,2018-07-01,Unkonwn,-11.484,16.694,Andulo,CLUBER,Unknown
POINT (-4.199958333333342 11.76595833333333),40,Burkina Faso,0,2017-07-01,Unkonwn,11.766,-4.2,Bonvale,CLUBER,Unknown
POINT (-3.0769583333333514 10.806958333333341),40,Burkina Faso,0,2017-07-01,Unkonwn,10.807,-3.077,Bontioli,CLUBER,Unknown
POINT (-0.3039583333333269 11.25695833333333),50,Burkina Faso,0,2017-07-01,Unkonwn,11.257,-0.304,Bittou,CLUBER,Unknown
POINT (-2.3999583333333305 11.415958333333336),20,Burkina Faso,0,2016-07-01,TIN TUA ONG,11.416,-2.4,Gori,CLUBER,Unknown
POINT (-3.337958333333347 12.14295833333334),30,Burkina Faso,0,2017-07-01,Unkonwn,12.143,-3.338,Samendeni,CLUBER,Unknown
POINT (12.300041666666658 -1.3400416666666644),10,Burkina Faso,2300,2016-07-01,Sonabel,-1.34,12.3,Bilgo,CLUBER,Operating
POINT (-4.749958333333353 11.28295833333334),30,Burkina Faso,0,2017-07-01,Unkonwn,11.283,-4.75,Koutseni,CLUBER,Unknown
POINT (-2.7499583333333533 11.182958333333332),40,Burkina Faso,0,2017-07-01,Unkonwn,11.183,-2.75,Bon,CLUBER,Unknown
POINT (-1.16595833333335 11.115958333333339),40,Burkina Faso,0,2017-07-01,Unkonwn,11.116,-1.166,Badango,CLUBER,Unknown
POINT (-2.3329583333333517 11.582958333333337),20,Burkina Faso,0,2017-07-01,Unkonwn,11.583,-2.333,Gougourou,CLUBER,Unknown
POINT (-0.8229583333333323 12.61695833333333),60,Burkina Faso,0,2017-07-01,SPEEDTECH,12.617,-0.823,Ziga,CLUBER,Unknown
POINT (1.466041666666655 11.582958333333337),30,Burkina Faso,0,2017-07-01,Unkonwn,11.583,1.466,Arli,CLUBER,Unknown
POINT (0.7160416666666549 13.28295833333334),30,Burkina Faso,0,2017-07-01,Unkonwn,13.283,0.716,Kirgou,CLUBER,Unknown
POINT (11.450041666666664 -1.0523749999999978),10,Burkina Faso,5000,2017-07-01,Service international d'Appui au Développement,-1.0524,11.45,Guiba and Bindé,CLUBER,Operating
POINT (0.5800416666666592 10.25895833333334),30,Burkina Faso,0,2017-07-01,Unkonwn,10.259,0.58,Baoue,CLUBER,Unknown
POINT (12.805041666666654 6.917958333333331),10,Cameroon,0,2018-07-01,ONUDI,6.918,12.805,Adamaoua,CLUBER,Unknown
POINT (12.811041666666654 6.306958333333341),80,Cameroon,0,2018-07-01,Eneo Cameroon S A,6.307,12.811,Mbakaou,CLUBER,Unknown
