id,center,image_date,image_value,type,mean_image_value,min_image_value,max_image_value
tree_0,"[-12.17503067677975, 9.66687598974862]",2014-01-01,0,tree,0.25398987244467014,-0.4292074558594398,0.93718720074878
tree_1,"[-11.262036573388308, 8.160969908434629]",2014-01-01,0.0404574650281386,tree,0.23763950916756793,-0.445557819136542,0.9208368374716779
tree_2,"[-11.13137723485804, 8.06372341512419]",2014-01-01,0,tree,0.20925047017778026,-0.4739468581263297,0.8924477984818902
tree_3,"[-12.94397360098245, 8.90835597442643]",2014-01-01,0,tree,0.20567965530344923,-0.4775176730006607,0.8888769836075592
tree_4,"[-10.642673837548983, 8.5399568621107]",2014-01-01,0,tree,0.201780376966838,-0.4814169513372719,0.884977705270948
tree_5,"[-11.278165370305556, 9.64038943419362]",2014-01-01,0.7870140310563107,tree,0.24596762740859987,-0.43722970089551005,0.9291649557127099
tree_6,"[-12.910582282004743, 8.649886836498862]",2014-01-01,0,tree,0.19614922787930814,-0.48704810042480184,0.8793465561834181
tree_7,"[-12.238503609450673, 9.203949589682702]",2014-01-01,0,tree,0.22065971864712336,-0.4625376096569866,0.9038570469512333
tree_8,"[-12.039093376256593, 9.174868219782105]",2014-01-01,0,tree,0.22024804314827584,-0.4629492851558341,0.9034453714523858
tree_9,"[-12.78662938465795, 8.321523638067092]",2014-01-01,0,tree,0.2066558921981465,-0.47654143610596345,0.8898532205022565
tree_10,"[-11.171437683447222, 9.078336637619136]",2014-01-01,0,tree,0.2134168211403355,-0.46978050716377445,0.8966141494444455
tree_11,"[-11.63843715987665, 7.800436861244343]",2014-01-01,0.0145483689555374,tree,0.22039722700936032,-0.46280010129474963,0.9035945553134703
tree_12,"[-12.392492309119397, 8.054702066760422]",2014-01-01,0.0071160205987876,tree,0.20194214661067714,-0.48125518169343284,0.8851394749147871
tree_13,"[-12.608906049077698, 8.486851426971757]",2014-01-01,0.0111230082826948,tree,0.21508243080322276,-0.4681148975008872,0.8982797591073327
tree_14,"[-12.59025984970882, 9.089299462294987]",2014-01-01,0,tree,0.204602611321553,-0.47859471698255696,0.887799939625663
tree_15,"[-10.587111971554519, 8.19949601360739]",2014-01-01,0,tree,0.2122490989264463,-0.4709482293776637,0.8954464272305562
tree_16,"[-12.61660507579259, 8.076925787644932]",2014-01-01,0.0033695803144961,tree,0.20542906948166662,-0.47776825882244334,0.8886263977857766
tree_17,"[-12.49706195783479, 8.230162092310179]",2014-01-01,0,tree,0.20444999049275636,-0.4787473378113536,0.8876473187968663
tree_18,"[-12.573494309259104, 8.580357190946753]",2014-01-01,0.0028529436711597,tree,0.2079087902425157,-0.4752885380615942,0.8911061185466257
tree_19,"[-12.707428088596602, 8.598953092447799]",2014-01-01,0,tree,0.22281001104456866,-0.4603873172595413,0.9060073393486786
tree_20,"[-12.089248586010005, 9.480142060884234]",2014-01-01,0,tree,0.2420150211581639,-0.4411823071459461,0.9252123494622738
tree_21,"[-12.05699453237849, 7.999454107609768]",2014-01-01,0,tree,0.20763090560077407,-0.4755664227033359,0.8908282339048841
tree_22,"[-11.226703675916225, 9.262492630198462]",2014-01-01,0,tree,0.2504913899810563,-0.43270593832305365,0.9336887182851663
tree_23,"[-10.78400468577152, 8.378438005842337]",2014-01-01,0,tree,0.21125556802122736,-0.4719417602828826,0.8944528963253373
tree_24,"[-11.805918636402556, 9.499720634073256]",2014-01-01,0,tree,0.32154463599673766,-0.3616526923073723,1.0047419643008477
tree_25,"[-10.887620523538699, 8.172577202812947]",2014-01-01,0,tree,0.21634245312823508,-0.4668548751758749,0.899539781432345
tree_26,"[-12.730428074607604, 8.049076573686946]",2014-01-01,0,tree,0.19958587349496337,-0.4836114548091466,0.8827832017990733
tree_27,"[-11.8134428614669, 9.98421783987528]",2014-01-01,0.0344230548319539,tree,0.2663618256833411,-0.41683550262076885,0.949559153987451
tree_28,"[-10.575168704391059, 8.149244131563044]",2014-01-01,0,tree,0.2074945425784819,-0.4757027857256281,0.8906918708825918
tree_29,"[-11.170735802049734, 9.876640531917582]",2014-01-01,0.0266589202526273,tree,0.2402479340176515,-0.44294939428645846,0.9234452623217615
tree_30,"[-12.234335298749723, 9.77762738759242]",2014-01-01,0,tree,0.24069214365401495,-0.44250518465009503,0.9238894719581249
tree_31,"[-11.97472663002821, 9.662352475275908]",2014-01-01,0.4932346090654597,tree,0.26343705933565237,-0.4197602689684576,0.9466343876397623
tree_32,"[-12.628056387400836, 9.2423913929165]",2014-01-01,0,tree,0.20312514023419684,-0.48007218806991314,0.8863224685383068
tree_33,"[-12.400839372696801, 9.819530066736439]",2014-01-01,0,tree,0.21795668450816646,-0.4652406437959435,0.9011540128122764
tree_34,"[-11.188472143413714, 7.579751726984244]",2014-01-01,0.0036246524231084,tree,0.22316488522151903,-0.46003244308259095,0.906362213525629
tree_35,"[-11.559250666995775, 8.813623237116962]",2014-01-01,0,tree,0.19015846573921005,-0.4930388625648999,0.87335579404332
tree_36,"[-12.615151135848231, 9.199556202139204]",2014-01-01,0,tree,0.19555496310712958,-0.48764236519698034,0.8787522914112396
tree_37,"[-11.446116702848288, 8.0829699523154]",2014-01-01,0.0178979212239828,tree,0.2232365897204118,-0.4599607385836981,0.9064339180245218
