site_name,site_type,date_commissioned,image_date,image_value,mean_image_value,min_image_value,max_image_value,site_id,year_commissioned,year_image,month_commissioned,month_image,group,time_period
Naiagolehun,Control,2014-01-01,2014-01-01,0.0081370871042759,0.20980784038595685,-0.45759964468185393,0.8772153254537676,61,2014,2014,1,1,0,0
Sembehun,Control,2014-01-01,2014-01-01,0.0319521341118261,0.21497467141923413,-0.4524328136485767,0.8823821564870449,73,2014,2014,1,1,0,0
Yamoama,Control,2014-01-01,2014-01-01,0.0101637386442734,0.20098921129638816,-0.46641827377142264,0.8683966963641989,192,2014,2014,1,1,0,0
Mamboma,Control,2014-01-01,2014-01-01,0.0259854740705684,0.20987863843866936,-0.4575288466291414,0.8772861235064802,50,2014,2014,1,1,0,0
Patewoma,Control,2014-01-01,2014-01-01,0.0162910049637093,0.21044720285168972,-0.45696028221612106,0.8778546879195005,64,2014,2014,1,1,0,0
Gbundapi,Control,2014-01-01,2014-01-01,0.0131329049985846,0.21153146105785275,-0.455876024009958,0.8789389461256636,29,2014,2014,1,1,0,0
Blama,Control,2014-01-01,2014-01-01,0.0123872387967752,0.21404681885299567,-0.4533606662148151,0.8814543039208065,12,2014,2014,1,1,0,0
Yiraia,Control,2014-01-01,2014-01-01,0.2795724750915399,0.2348092512505622,-0.4325982338172486,0.902216736318373,194,2014,2014,1,1,0,0
Gberia Fotombu,Control,2014-01-01,2014-01-01,0.0355450244739624,0.22516500291952565,-0.4422424821482851,0.8925724879873365,26,2014,2014,1,1,0,0
Mandia,Control,2014-01-01,2014-01-01,0.1625847693482653,0.2515657729804531,-0.4158417120873577,0.918973258048264,51,2014,2014,1,1,0,0
Kania,Control,2014-01-01,2014-01-01,0,0.21756827604512796,-0.4498392090226828,0.8849757611129387,36,2014,2014,1,1,0,0
Dankawali,Control,2014-01-01,2014-01-01,0.0480276856912769,0.23144205845238547,-0.4359654266154253,0.8988495435201962,16,2014,2014,1,1,0,0
Gorahun,Control,2014-01-01,2014-01-01,0.012297980514153,0.21743922316955716,-0.4499682618982536,0.8848467082373679,32,2014,2014,1,1,0,0
Baiima,Control,2014-01-01,2014-01-01,0,0.2795124608839537,-0.3878950241838571,0.9469199459517644,2,2014,2014,1,1,0,0
Foindu,Control,2014-01-01,2014-01-01,6.144175101602e-4,0.21696121937381588,-0.450446265693995,0.8843687044416266,18,2014,2014,1,1,0,0
