"site_name","country","date_commissioned","source","lightscore_mean_1000","lightscore_max_1000"
"site 265","Kenya",2019-07-21,"cbil",0.493844633564657,0.970755577087402
"Merile-I","Kenya",2014-10-27,"cbil",0.718734105644019,0.93239951133728
"Nadwat solar mini grid","Kenya",2019-03-29,"cbil",0.0415364563949916,0.087841659784317
"Dirako + Rukada","Kenya",2018-02-28,"cbil",0.730180412796991,0.901863932609558
"Mukhwayo","Kenya",2018-02-28,"cbil",0.709642960670147,0.908669471740723
"Entesopia-I","Kenya",2014-09-03,"cbil",0.201546722894357,0.24981427192688
"Entesopia-II","Kenya",2014-12-02,"cbil",0.204323298904727,0.24981427192688
"Longech solar mini grid","Kenya",2019-09-13,"cbil",0.0882631437492001,0.12873063981533
"Ileret solar mini grid","Kenya",2019-11-27,"cbil",0.131157016922389,0.257090628147125
"Lolupe solar mini grid","Kenya",2019-09-13,"cbil",0.00601184050930609,0.0552222058176994
"Namagumba","Kenya",2018-02-28,"cbil",0.777910174249293,0.955089151859283
"Mufumu","Kenya",2018-02-28,"cbil",0.925024247122189,1
"Makhurisi","Kenya",2018-02-28,"cbil",0.614448438042944,0.826063692569733
"Opiroi-I","Kenya",2014-10-02,"cbil",0.0519862248495753,0.143381252884865
"Buyende","Kenya",2018-02-28,"cbil",0.6159901965049,0.970616400241852
"Kataboi","Kenya",2018-03-31,"cbil",0.0790352605143997,0.164618700742722
"Kataboi Solar Minigrid","Kenya",2019-02-28,"cbil",0.0754939009395479,0.164618700742722
"Enkoireroi-I","Kenya",2014-09-17,"cbil",0.0539147572330477,0.199109941720963
"Olturoto-I","Kenya",2014-08-19,"cbil",0.11075261009462,0.178225308656693
"Namba Koloo","Kenya",2014-11-23,"cbil",0.187136579090528,0.355435818433762
"Marti-I","Kenya",2015-03-23,"cbil",0.926771923251774,0.999982595443726
"MBB (Mudoriko, Bwiri A & Bwiri B)","Kenya",2018-02-28,"cbil",1,1
"Phase 4: Mufumu","Kenya",2018-07-01,"cbil",0.920523955866143,1
"Phase 3 - Sidonge","Kenya",2010-12-31,"cbil",0.649890230277951,0.930624425411224
"264","Kenya",2018-06-11,"cbil",0.929604867797586,1
"site 235A","Kenya",2018-06-11,"cbil",0.89878765637962,0.978555142879486
"Merti","Kenya",2008-01-01,"cluber",0.677609530566301,0.998062252998352
"Hola","Kenya",2008-01-01,"cluber",0.999999100429624,1
"Naivasha","Kenya",2017-01-01,"cluber",1,1
"Mfangano","Kenya",2011-01-01,"cluber",0.0677465267353139,0.320170521736145
"Oloika","Kenya",2016-01-01,"cluber",0.072170827537775,0.0922279059886932
"Shampole","Kenya",2016-01-01,"cluber",0.100099424521128,0.120418906211853
"Thima / Mukengeria","Kenya",2001-01-01,"cluber",0.997795008613678,1
"Faza","Kenya",2014-01-01,"cluber",0.996189680695534,1
"Mpeketoni","Kenya",2008-01-01,"cluber",0.999578408400218,1
"Kitonyoni","Kenya",2016-01-01,"cluber",0.199649514597759,0.294137120246887
"Eldas","Kenya",2012-01-01,"cluber",0.880648306751436,0.953671216964722
