Community,Region,District,Chiefdom,County/ Section,Latitude,Longitude,Digitised Buildings,Est Connections,geometry,site_type,site_name,date_commissioned
Naiagolehun,Southern,Bo,Bagbo,Niagorehun,7.6836,-11.7673,613.0,307.0,POINT (-11.7673 7.6836),Control,Naiagolehun,2030-01-01
Sembehun,Southern,Bo,Tikonko,Sendeh,7.7741,-11.7245,596.0,298.0,POINT (-11.7245 7.7741),Control,Sembehun,2030-01-01
Yamoama,Southern,Bo,Lugbu,Kamba,7.6528,-11.8951,448.0,224.0,POINT (-11.8951 7.6528),Control,Yamoama,2030-01-01
Mamboma,Southern,Bo,Bongor,Tongowa,7.8403,-11.6607,468.0,234.0,POINT (-11.6607 7.8403),Control,Mamboma,2030-01-01
Patewoma,Southern,Bo,Lugbu,Yorma,7.7303,-11.8157,436.0,218.0,POINT (-11.8157 7.7303),Control,Patewoma,2030-01-01
Gbundapi,Southern,Pujehun,Panga,Setti - Yakanday,7.3194,-11.8479,417.0,209.0,POINT (-11.8479 7.3194),Control,Gbundapi,2030-01-01
Blama,Southern,Pujehun,Galliness,Mewah,7.3453,-11.6363,207.0,104.0,POINT (-11.6363 7.3453),Control,Blama,2030-01-01
Yiraia,Northern,Falaba,Kamadu Yiraia,Yiraia,9.453,-11.2551,259.0,130.0,POINT (-11.2551 9.453),Control,Yiraia,2030-01-01
Gberia Fotombu,Northern,Falaba,Sulima,Koindu-Kura,9.8773,-11.1638,338.0,169.0,POINT (-11.1638 9.8773),Control,Gberia Fotombu,2030-01-01
Mandia,Northern,Koinadugu,Kamukeh,Taelia,9.9755,-11.851,267.0,134.0,POINT (-11.851 9.9755),Control,Mandia,2030-01-01
Kania,Northern,Koinadugu,Diang,Kania,9.2126,-11.6088,272.0,136.0,POINT (-11.6088 9.2126),Control,Kania,2030-01-01
Dankawali,Northern,Falaba,Kamadu Yiraia,Upper Kamadugu,9.631,-11.3295,212.0,106.0,POINT (-11.3295 9.631),Control,Dankawali,2030-01-01
Gorahun,Eastern,Kailahun,Kpeje Bongre,Bongre,8.0787,-10.7953,255.0,128.0,POINT (-10.7953 8.0787),Control,Gorahun,2030-01-01
Baiima,Eastern,Kailahun,Mandu,Gbongre,8.0318,-10.7673,529.0,265.0,POINT (-10.7673 8.0318),Control,Baiima,2030-01-01
Foindu,Eastern,Kailahun,Kpeje Bongre,Marwei,8.1242,-10.7876,267.0,134.0,POINT (-10.7876 8.1242),Control,Foindu,2030-01-01
Petema / Sebehun,Eastern,Kenema,Malegohun,Hulorhun Njagbudor,8.1956,-10.9254,590.0,295.0,POINT (-10.9254 8.1956),Control,Petema / Sebehun,2030-01-01
Wilima,Eastern,Kenema,Lower Bambara,Fallay,8.1704,-10.9462,480.0,240.0,POINT (-10.9462 8.1704),Control,Wilima,2030-01-01
Gba,Southern,Pujehun,Makpele,Samagbe,7.2741,-11.2306,497.0,249.0,POINT (-11.2306 7.2741),Control,Gba,2030-01-01
Mende,Eastern,Kailahun,Luawa,Mende Buima,8.1995,-10.6932,317.0,159.0,POINT (-10.6932 8.1995),Control,Mende,2030-01-01
Giehun,Eastern,Kailahun,Luawa,Giehun,8.202,-10.6467,606.0,303.0,POINT (-10.6467 8.202),Control,Giehun,2030-01-01
Gbalahun (Balahun),Eastern,Kailahun,Luawa,Gbela,8.2565,-10.4875,422.0,211.0,POINT (-10.4875 8.2565),Control,Gbalahun (Balahun),2030-01-01
Konjo,Eastern,Kailahun,Luawa,Upper Kpombali,8.2013,-10.437,247.0,124.0,POINT (-10.437 8.2013),Control,Konjo,2030-01-01
